Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Halo Warfare 286,Wii,1993,Fighting,Ubisoft,4.68,0.53,0.72,0.05,5.98
2,Super Adventure 131,XB,1993,Misc,Sony Computer Entertainment,4.95,0.13,0.57,0.01,5.66
3,The Legend of Quest 410,DS,1992,Racing,Bandai Namco Entertainment,4.49,0.69,0.35,0.05,5.58
4,Mario Adventure 425,XB,2007,Misc,Capcom,3.52,1.09,0.27,0.12,5.0
5,World of Fantasy 161,XOne,2004,Platform,Activision,2.32,2.2,0.23,0.13,4.88
6,The Legend of Quest 181,XB,1998,Platform,Sega,4.22,0.04,0.47,0.0,4.73
7,Call of Warfare 89,PS,2008,Platform,Sega,2.31,1.56,0.71,0.09,4.67
8,World of Combat 165,PS4,1996,Misc,Ubisoft,3.78,0.28,0.52,0.04,4.62
9,The Legend of Combat 9,XB,2014,Action,Nintendo,3.33,0.34,0.25,0.62,4.54
10,World of Adventure 88,PS,1984,Platform,Bandai Namco Entertainment,3.52,0.63,0.02,0.32,4.49
11,Halo Combat 168,DS,2004,Platform,Nintendo,0.84,2.37,1.0,0.24,4.45
12,Mario Kart 41,Wii,2002,Action,Electronic Arts,0.27,3.72,0.25,0.15,4.39
13,Super Fantasy 447,XOne,2002,Fighting,Activision,2.84,0.85,0.32,0.34,4.35
14,Final Legacy 248,X360,2016,Shooter,Sega,3.18,1.05,0.02,0.08,4.33
15,Super Quest 151,XB,2003,Fighting,Electronic Arts,3.52,0.12,0.64,0.04,4.32
16,The Legend of Combat 305,PS2,2009,Platform,Capcom,3.31,0.84,0.11,0.04,4.3
17,Grand Kart 459,PS,2011,Shooter,Bandai Namco Entertainment,2.79,0.51,0.75,0.03,4.08
18,Super Adventure 401,PS4,1986,Platform,Ubisoft,2.98,0.52,0.52,0.06,4.08
19,Halo Quest 465,DS,2010,Racing,Bandai Namco Entertainment,2.8,0.65,0.37,0.25,4.07
20,Final Kart 277,XB,1984,Fighting,Bandai Namco Entertainment,1.14,1.69,1.13,0.11,4.07
21,Halo Legacy 262,DS,2013,Fighting,Activision,2.21,0.99,0.84,0.0,4.04
22,The Legend of Fantasy 492,PS2,2013,Fighting,Take-Two Interactive,2.21,0.64,1.0,0.16,4.01
23,Grand Legacy 121,XOne,1997,Racing,Bandai Namco Entertainment,1.74,1.65,0.59,0.01,3.99
24,The Legend of Combat 354,X360,1983,Platform,Take-Two Interactive,3.45,0.29,0.21,0.03,3.98
25,Halo Adventure 48,XOne,2000,Racing,Capcom,2.21,0.67,0.53,0.5,3.91
26,Mario Kart 411,PS4,2009,Shooter,Capcom,2.94,0.84,0.04,0.08,3.9
27,Super Kart 138,PS,1996,Shooter,Sega,3.31,0.14,0.22,0.18,3.85
28,The Legend of Fantasy 295,Wii,1981,Sports,Ubisoft,0.85,2.06,0.62,0.28,3.81
29,World of Warfare 331,DS,1981,Racing,Ubisoft,0.93,1.86,0.63,0.37,3.79
30,Mario Quest 483,NES,1981,Platform,Ubisoft,1.49,1.59,0.14,0.54,3.76
31,World of Warfare 130,PC,2013,Fighting,Sony Computer Entertainment,1.28,1.08,0.87,0.44,3.67
32,The Legend of Warfare 167,PS2,2005,Role-Playing,Sony Computer Entertainment,2.29,0.59,0.45,0.26,3.59
33,World of Legacy 73,PS3,1993,Racing,Bandai Namco Entertainment,1.99,0.48,0.94,0.13,3.54
34,Final Adventure 242,3DS,1989,Fighting,Sega,1.36,0.95,1.16,0.05,3.52
35,Final Kart 274,PS3,2014,Racing,Capcom,2.78,0.07,0.6,0.06,3.51
36,Final Adventure 441,NES,1986,Racing,Activision,1.06,2.09,0.26,0.09,3.5
37,Mario Legacy 315,DS,1981,Sports,Ubisoft,2.76,0.23,0.02,0.49,3.5
38,Mario Kart 466,PC,1997,Sports,Capcom,0.48,2.4,0.35,0.27,3.5
39,Mario Combat 421,DS,1997,Sports,Electronic Arts,1.09,1.43,0.85,0.13,3.5
40,Super Kart 215,PS3,1981,Racing,Activision,0.52,2.45,0.06,0.45,3.48
41,Grand Adventure 378,XOne,2005,Platform,Electronic Arts,2.2,0.67,0.25,0.36,3.48
42,World of Combat 489,Wii,2016,Platform,Electronic Arts,0.25,2.8,0.2,0.2,3.45
43,World of Quest 200,DS,1982,Fighting,Sega,1.33,1.58,0.16,0.36,3.43
44,Mario Combat 304,3DS,2012,Role-Playing,Sega,0.26,2.86,0.27,0.04,3.43
45,The Legend of Fantasy 127,PC,1984,Sports,Sony Computer Entertainment,1.66,1.51,0.18,0.06,3.41
46,Mario Adventure 129,PS,2005,Platform,Nintendo,2.24,0.86,0.05,0.25,3.4
47,World of Legacy 156,PS,1982,Sports,Ubisoft,2.4,0.4,0.44,0.16,3.4
48,World of Kart 104,NES,1995,Fighting,Ubisoft,1.49,0.18,1.19,0.47,3.33
49,The Legend of Quest 433,X360,1989,Fighting,Take-Two Interactive,1.85,0.7,0.7,0.04,3.29
50,Grand Fantasy 388,PS,2006,Racing,Activision,1.8,0.72,0.62,0.15,3.29
51,Final Duty 313,PS2,1983,Action,Capcom,1.6,0.3,0.67,0.71,3.28
52,Super Combat 273,PS2,2009,Fighting,Capcom,2.9,0.01,0.19,0.17,3.27
53,World of Fantasy 325,PS,2008,Fighting,Activision,2.03,0.71,0.27,0.25,3.26
54,Super Combat 75,PS4,1990,Sports,Sony Computer Entertainment,2.4,0.24,0.02,0.59,3.25
55,Halo Adventure 25,PS4,2004,Misc,Bandai Namco Entertainment,1.66,1.45,0.12,0.01,3.24
56,World of Legacy 178,XB,2001,Sports,Bandai Namco Entertainment,2.78,0.2,0.23,0.01,3.22
57,Grand Legacy 275,PS4,2000,Role-Playing,Nintendo,1.11,1.65,0.24,0.22,3.22
58,World of Duty 260,PS3,1990,Platform,Sega,2.15,0.86,0.11,0.07,3.19
59,Final Kart 297,PS,1985,Role-Playing,Nintendo,2.41,0.08,0.36,0.34,3.19
60,Grand Kart 99,PS3,1985,Role-Playing,Sega,2.07,0.22,0.83,0.05,3.17
61,Halo Duty 14,DS,1981,Misc,Capcom,1.97,0.61,0.52,0.06,3.16
62,Grand Combat 320,3DS,1992,Racing,Ubisoft,1.49,0.01,1.62,0.02,3.14
63,Mario Kart 1,3DS,1996,Fighting,Capcom,0.44,2.16,0.47,0.05,3.12
64,Final Duty 382,NES,1990,Racing,Capcom,1.64,0.75,0.15,0.57,3.11
65,World of Adventure 199,Wii,1988,Misc,Take-Two Interactive,1.59,0.41,1.02,0.09,3.11
66,Call of Kart 198,PC,2003,Role-Playing,Activision,2.49,0.03,0.21,0.33,3.06
67,Mario Warfare 43,3DS,2016,Fighting,Sega,1.02,1.89,0.06,0.08,3.05
68,Mario Legacy 106,PS4,1990,Misc,Activision,1.41,0.39,0.32,0.92,3.04
69,Final Quest 317,X360,1984,Role-Playing,Ubisoft,1.62,0.88,0.47,0.07,3.04
70,Mario Combat 101,3DS,1992,Racing,Take-Two Interactive,2.31,0.33,0.16,0.24,3.04
71,Mario Adventure 257,PS,2010,Misc,Sega,2.64,0.21,0.11,0.05,3.01
72,World of Quest 404,3DS,1999,Misc,Sony Computer Entertainment,1.25,1.73,0.0,0.02,3.0
73,The Legend of Duty 292,DS,2004,Racing,Ubisoft,0.2,2.64,0.11,0.05,3.0
74,Grand Quest 437,PS,2012,Role-Playing,Ubisoft,1.95,0.75,0.0,0.3,3.0
75,Super Combat 222,PS3,2005,Platform,Activision,1.69,0.7,0.52,0.07,2.98
76,Grand Legacy 430,XOne,2008,Shooter,Sega,1.03,0.94,0.62,0.38,2.97
77,Final Warfare 100,PC,1981,Role-Playing,Bandai Namco Entertainment,2.83,0.05,0.02,0.07,2.97
78,Final Combat 193,DS,1983,Racing,Take-Two Interactive,0.08,2.57,0.17,0.07,2.89
79,The Legend of Adventure 241,XB,2002,Sports,Sega,0.14,2.42,0.19,0.14,2.89
80,Halo Adventure 226,NES,2012,Fighting,Nintendo,1.62,0.62,0.53,0.09,2.86
81,Call of Fantasy 30,XB,2013,Shooter,Capcom,1.97,0.42,0.4,0.06,2.85
82,Mario Adventure 160,XOne,1994,Racing,Sega,1.69,0.34,0.72,0.09,2.84
83,Grand Legacy 263,PS4,1991,Role-Playing,Nintendo,0.93,1.28,0.61,0.02,2.84
84,World of Legacy 24,PS,2005,Role-Playing,Ubisoft,1.84,0.91,0.05,0.03,2.83
85,World of Kart 392,PS2,1986,Platform,Sega,0.83,1.72,0.04,0.22,2.81
86,Final Fantasy 4,XOne,1999,Action,Ubisoft,0.62,1.52,0.2,0.47,2.81
87,Super Kart 407,XOne,1986,Misc,Take-Two Interactive,0.65,1.96,0.09,0.1,2.8
88,Super Adventure 216,PS4,1994,Action,Sega,0.72,1.31,0.59,0.18,2.8
89,Grand Duty 211,NES,1983,Fighting,Activision,0.92,1.31,0.38,0.19,2.8
90,World of Combat 197,PS2,2010,Sports,Ubisoft,1.76,0.31,0.49,0.23,2.79
91,Mario Duty 349,PS2,1997,Shooter,Take-Two Interactive,1.21,1.11,0.2,0.25,2.77
92,Super Warfare 180,NES,1987,Platform,Sega,2.1,0.22,0.36,0.06,2.74
93,Grand Combat 187,3DS,2016,Role-Playing,Nintendo,1.35,1.06,0.05,0.27,2.73
94,Halo Duty 184,PS4,2005,Fighting,Activision,1.14,0.81,0.71,0.05,2.71
95,Halo Quest 232,3DS,2016,Role-Playing,Capcom,1.12,1.38,0.08,0.08,2.66
96,Grand Kart 496,PS,1996,Role-Playing,Activision,2.17,0.27,0.15,0.05,2.64
97,Grand Duty 290,NES,1994,Platform,Sony Computer Entertainment,1.27,0.31,0.99,0.07,2.64
98,Halo Warfare 92,XB,1996,Sports,Ubisoft,2.07,0.0,0.16,0.39,2.62
99,Grand Legacy 94,XB,1996,Platform,Activision,0.67,1.14,0.69,0.1,2.6
100,The Legend of Duty 307,3DS,2015,Role-Playing,Sega,1.8,0.18,0.41,0.21,2.6
101,Grand Kart 49,NES,1993,Action,Ubisoft,1.06,1.05,0.1,0.36,2.57
102,Mario Adventure 225,DS,1999,Platform,Take-Two Interactive,1.52,0.76,0.2,0.09,2.57
103,Halo Kart 449,XOne,2016,Racing,Take-Two Interactive,1.54,0.35,0.35,0.33,2.57
104,Call of Legacy 194,PS2,2009,Racing,Take-Two Interactive,1.68,0.54,0.29,0.05,2.56
105,Final Quest 32,PS,1980,Fighting,Sega,0.39,1.34,0.81,0.02,2.56
106,Final Legacy 399,XB,2007,Misc,Sony Computer Entertainment,1.64,0.48,0.28,0.15,2.55
107,Grand Kart 348,XB,1992,Platform,Take-Two Interactive,1.57,0.77,0.15,0.05,2.54
108,World of Combat 358,PS2,2007,Shooter,Take-Two Interactive,0.97,1.16,0.13,0.28,2.54
109,Grand Warfare 258,NES,1984,Racing,Activision,0.33,1.86,0.07,0.27,2.53
110,The Legend of Adventure 300,PS4,1986,Role-Playing,Electronic Arts,2.3,0.05,0.08,0.09,2.52
111,World of Fantasy 472,PC,2000,Action,Electronic Arts,1.41,0.66,0.13,0.31,2.51
112,Mario Duty 79,PS,2009,Sports,Take-Two Interactive,1.65,0.01,0.71,0.13,2.5
113,Call of Legacy 31,X360,2014,Sports,Sega,0.43,0.02,1.92,0.13,2.5
114,The Legend of Fantasy 338,PS,1984,Misc,Capcom,1.28,0.93,0.28,0.0,2.49
115,Super Adventure 444,XB,1980,Racing,Sony Computer Entertainment,1.92,0.09,0.25,0.21,2.47
116,Super Adventure 139,XB,2005,Platform,Sega,1.17,0.76,0.49,0.01,2.43
117,World of Legacy 84,3DS,2003,Action,Electronic Arts,1.51,0.38,0.45,0.09,2.43
118,Super Warfare 20,3DS,1997,Role-Playing,Sony Computer Entertainment,1.42,0.29,0.37,0.27,2.35
119,Final Combat 217,PS3,1990,Misc,Take-Two Interactive,1.39,0.39,0.51,0.05,2.34
120,Grand Duty 377,PS,1989,Role-Playing,Electronic Arts,0.03,1.57,0.49,0.24,2.33
121,Call of Fantasy 419,PS,1995,Misc,Activision,1.62,0.29,0.03,0.38,2.32
122,World of Fantasy 8,X360,1992,Shooter,Capcom,1.44,0.36,0.25,0.26,2.31
123,Mario Fantasy 428,PS3,1980,Racing,Ubisoft,0.69,0.85,0.73,0.04,2.31
124,Grand Combat 351,3DS,2012,Action,Sega,0.52,0.77,0.9,0.12,2.31
125,Mario Adventure 95,3DS,1999,Role-Playing,Bandai Namco Entertainment,1.98,0.14,0.01,0.17,2.3
126,The Legend of Adventure 458,X360,1993,Racing,Activision,0.4,1.03,0.58,0.29,2.3
127,World of Fantasy 213,PS4,1985,Fighting,Nintendo,1.52,0.25,0.02,0.51,2.3
